Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2012-05-25,5.08749498579,274.91026252,5.09,5.1,5.08,5.08,-0.1964636542239644,,,,,,,,,,,,,,
2012-05-26,5.08837608552,388.70621698,5.08,5.09,5.06,5.07,-0.1968503937007832,,,,,,,,,,,,,,
2012-05-27,5.05379871068,913.52967246,5.08,5.08,5.0,5.07,-0.1968503937007832,,,,,,,,,,,,,,
2012-05-28,5.07898054864,180.68383317,5.08,5.08,5.07,5.07,-0.1968503937007832,,,,,,,,,,,,,,
2012-05-29,5.07021655175,1341.51430437,5.07,5.12,4.95,5.11,0.788954635108482,,,,,,,,,,,,,,
2012-05-30,5.12010592349,748.4016813,5.07,5.14,5.07,5.14,1.3806706114398302,,,,,,,,,,,,,,
2012-05-31,5.12888816166,1102.63991433,5.14,5.17,5.1,5.17,0.5836575875486429,,,,,,,,,,,,,,
2012-06-01,5.20949974217,473.66441064,5.17,5.24,5.16,5.22,0.9671179883945807,,,,,,,,,,,,,,
2012-06-02,5.19455918005,192.43478463,5.2,5.21,5.17,5.19,-0.1923076923076882,,,,,,,,,,,,,,
2012-06-03,5.19300817067,14.33475413,5.19,5.2,5.19,5.19,0.0,,,,,,,,,,,,,,
2012-06-04,5.18461377485,1359.1183093,5.18,5.24,5.14,5.22,0.7722007722007729,,,,,,,,,,,,,,
2012-06-05,5.36301977488,929.19495142,5.22,5.49,5.22,5.37,2.8735632183908115,,,,,,,,,,,,,,
2012-06-06,5.43684879634,770.84630967,5.39,5.49,5.37,5.41,0.37105751391466535,,,,,,,,,,,,,,
2012-06-07,5.47275460588,1412.87520676,5.41,5.53,5.4,5.53,2.2181146025878022,,,,,,,,,,,,,,
2012-06-08,5.56445249005,1397.44902146,5.48,5.63,5.46,5.61,2.3722627737226256,,,,,,,,,,,,,,
2012-06-09,5.57395077233,353.65603433,5.6,5.62,5.47,5.48,-2.142857142857129,,,,,,,,,,,,,,
2012-06-10,5.4643322738,270.95117635,5.54,5.54,5.42,5.42,-2.1660649819494604,,,,,,,,,,,,,,
2012-06-11,5.45982622209,667.67216608,5.48,5.57,5.4,5.52,0.7299270072992544,,,,,,,,,,,,,,
2012-06-12,5.86903541473,9330.40796353,5.57,5.9,5.53,5.71,2.5134649910233335,,,,,,,,,,,,,,
2012-06-13,5.85781671919,1690.19740728,5.77,6.0,5.71,5.86,1.559792027729649,,,,,,,,,,,,,,
2012-06-14,5.84082979519,3236.5087261,5.86,5.91,5.79,5.9,0.6825938566552906,,,,,,,,,,,,,,
2012-06-15,5.86020924434,2041.44728739,5.88,6.42,5.56,6.42,9.183673469387756,,,,,,,,,,,,,,
2012-06-16,6.36330404892,1010.13937541,6.41,6.52,6.12,6.41,0.0,,,,,,,,,,,,,,
2012-06-17,6.3178950333,424.19045736,6.41,6.47,6.13,6.19,-3.4321372854914154,,,,,,,,,,,,,,
2012-06-18,6.14466423759,2483.09865301,6.13,6.34,5.98,6.06,-1.1419249592169702,,,,,,,,,,,,,,
2012-06-19,6.41240931388,1389.04883704,6.13,6.49,6.13,6.46,5.38336052202284,,,,,,,,,,,,,,
2012-06-20,6.53533609978,2075.98456732,6.4,6.65,6.26,6.64,3.7499999999999893,,,,,,,,,,,,,,
2012-06-21,6.65806795099,480.84201914,6.66,6.69,6.64,6.64,-0.30030030030030724,,,,,,,,,,,,,,
2012-06-22,6.61068536076,963.16079856,6.64,6.67,6.48,6.59,-0.7530120481927685,,,,,,,,,,,,,,
2012-06-23,6.44534835018,1137.14132849,6.6,6.61,6.33,6.45,-2.272727272727265,,,,,,,,,,,,,,
2012-06-24,6.39447611661,599.17294991,6.35,6.45,6.35,6.4,0.7874015748031609,,,,,,,,,,,,,,
2012-06-25,6.24617931075,1956.72821549,6.35,6.35,6.11,6.26,-1.4173228346456672,,,,,,,,,,,,,,
2012-06-26,6.3328944826,2273.09860085,6.26,6.46,6.17,6.41,2.396166134185309,,,,,,,,,,,,,,
2012-06-27,6.53904879503,11231.7782872,6.41,6.68,6.34,6.49,1.248049921996881,,,,,,,,,,,,,,
2012-06-28,6.2756293953,4266.15056833,6.49,6.54,5.99,6.5,0.15408320493065927,,,,,,,,,,,,,,
2012-06-29,6.51000624542,8127.55500191,6.5,6.63,6.49,6.52,0.30769230769230116,,,,,,,,,,,,,,
2012-06-30,6.52544974272,828.05206012,6.58,6.61,6.5,6.61,0.4559270516717363,,,,,,,,,,,,,,
2012-07-01,6.55178202107,332.44372303,6.6,6.62,6.52,6.52,-1.2121212121212133,,,,,,,,,,,,,,
2012-07-02,6.58922415392,1792.23613156,6.55,6.64,6.52,6.61,0.9160305343511527,,,,,,,,,,,,,,
2012-07-03,6.57010451124,1936.3905711,6.61,6.66,6.4,6.44,-2.571860816944023,,,,,,,,,,,,,,
2012-07-04,6.47497298959,2014.68873242,6.44,6.55,6.36,6.44,0.0,,,,,,,,,,,,,,
2012-07-05,6.60417808648,1406.97193178,6.52,6.66,6.52,6.6,1.2269938650306762,,,,,,,,,,,,,,
2012-07-06,6.52187383803,1662.61510481,6.59,6.6,6.39,6.59,0.0,,,,,,,,,,,,,,
2012-07-07,6.6654530727,1408.4798228,6.6,6.79,6.56,6.79,2.8787878787878847,,,,,,,,,,,,,,
2012-07-08,6.60374863961,830.37090436,6.8,6.8,6.45,6.73,-1.0294117647058736,,,,,,,,,,,,,,
2012-07-09,6.79433205908,1751.75552753,6.77,6.99,6.55,6.94,2.511078286558358,,,,,,,,,,,,,,
2012-07-10,7.02567565138,1495.1442887,6.95,7.13,6.95,7.08,1.8705035971223007,,,,,,,,,,,,,,
2012-07-11,7.11201155346,751.66207543,7.08,7.15,7.04,7.14,0.8474576271186385,,,,,,,,,,,,,,
2012-07-12,7.18307166339,2325.83757492,7.15,7.59,7.1,7.59,6.153846153846146,,,,,,,,,,,,,,
2012-07-13,7.59130889688,1204.54573744,7.6,7.69,7.46,7.59,-0.13157894736841824,,,,,,,,,,,,,,
2012-07-14,7.53932386935,717.31461971,7.58,7.58,7.44,7.55,-0.39577836411609824,,,,,,,,,,,,,,
2012-07-15,7.50193401446,322.39208253,7.55,7.57,7.4,7.57,0.26490066225166176,,,,,,,,,,,,,,
2012-07-16,7.63920785558,3680.08259313,7.57,8.3,7.14,8.3,9.643328929986795,,,,,,,,,,,,,,
2012-07-17,8.20320787026,3658.89689036,8.3,8.8,7.7,8.55,3.012048192771084,,,,,,,,,,,,,,
2012-07-18,8.72959501985,2613.84283038,8.5,9.15,8.36,9.0,5.88235294117647,,,,,,,,,,,,,,
2012-07-19,9.0596277563,2512.84139938,9.06,9.2,8.76,8.76,-3.3112582781457034,,,,,,,,,,,,,,
2012-07-20,8.18513815277,1378.66512931,8.76,8.76,7.93,8.44,-3.6529680365296837,,,,,,,,,,,,,,
2012-07-21,8.63355171524,2380.64465914,8.52,8.91,8.2,8.74,2.5821596244131535,,,,,,,,,,,,,,
2012-07-22,8.57267161303,1483.54734476,8.74,8.8,8.3,8.42,-3.6613272311212848,,,,,,,,,,,,,,
2012-07-23,8.59499477383,2585.86162064,8.42,8.88,8.1,8.59,2.0190023752969113,,,,,,,,,,,,,,
2012-07-24,8.58287386529,1298.89850451,8.59,8.8,8.25,8.61,0.23282887077997177,,,,,,,,,,,,,,
2012-07-25,8.51094768349,1795.45977381,8.59,8.64,8.24,8.64,0.5820721769499501,,,,,,,,,,,,,,
2012-07-26,8.62482336207,837.67858918,8.64,8.83,8.45,8.75,1.2731481481481415,,,,,,,,,,,,,,
